kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,"(see, as the most recent authority, the Chorherr judgment previously cited, p. 34, para.",0,15#34,0,2,0,88,14,0.43093976378440857
none,"(see, inter alia and mutatis mutandis, the following judgments:",0,15#23,0,1,0,63,9,0.3676992952823639
none,"(see, mutatis mutandis, the Belilos v. Switzerland judgment of 29 April 1988, Series A no.",0,15#33,0,3,0,90,15,0.4789424240589142
none,"132, p. 24, para.",0,15#33,1,3,91,108,4,0.3057500720024109
none,"2 of the Criminal Code punished homicide committed while under the influence of drink, section 5 of the Road Traffic Act punished the mere fact of driving a vehicle while intoxicated.",0,15#43,1,2,89,272,31,0.45822080969810486
none,2 of the Criminal Code.,0,15#48,1,2,161,184,5,0.3832530081272125
none,"266-B, p. 35, para.",0,15#12,3,5,221,240,5,0.3185722231864929
none,5) and makes express reference solely to measures for the deprivation of liberty.,0,15#15,2,3,191,272,13,0.37235531210899353
none,5) of the Convention was compatible with Article 64 (art.,0,15#12,1,5,145,202,10,0.3861163556575775
none,"5), the limited review carried out by the Administrative Court or the Constitutional Court was insufficient (see paragraph 26 above).",0,15#32,1,2,172,305,20,0.4146419167518616
none,"6) of the Convention, whereas the wording of the reservation invoked by the Government mentions only Article 5 (art.",0,15#15,1,3,74,190,19,0.31760698556900024
none,"6-1) is being gauged, regard must be had to the complaints raised in that court by the applicant as well as to the defining characteristics of a ""judicial body that has full jurisdiction"".",0,15#29,2,3,84,272,34,0.46496108174324036
none,64) (Series A no.,0,15#12,2,5,203,220,4,0.35302969813346863
none,64) applied in the present case are covered by that reservation.,0,15#13,2,3,76,140,11,0.4097750782966614
none,64) of the Convention,0,15#35,1,2,117,138,4,0.3565748929977417
none,"64) of the Convention, which provides:",0,15#7,1,2,78,116,6,0.3958095610141754
none,"64) shall contain a brief statement of the law concerned.""",0,15#10,1,2,46,104,10,0.3672565817832947
none,"7 (P7), namely the Administrative Court's judgment of 29 March 1989,",0,15#42,1,2,148,216,11,0.37944474816322327
none,"7 (P7-3, P7-4).",0,15#37,1,2,141,156,5,0.3959701955318451
none,7 (P7-4) is to prohibit the repetition of criminal proceedings that have been concluded by a final decision.,0,15#40,1,2,82,190,19,0.44225218892097473
none,"Admittedly, the Road Traffic Act 1960 was not one of the four laws designated in the reservation.",0,15#4,0,1,0,97,17,0.3827829957008362
none,Any reservation made under this Article (art.,0,15#10,0,2,0,45,7,0.2947230339050293
none,"As the Administrative Court lacks that power, it cannot be regarded as a ""tribunal"" within the meaning of the Convention.",0,15#31,0,1,0,121,21,0.4228804409503937
none,"Here, however, the substantive provisions of a different Act, the Road Traffic Act 1960, were applied.",0,15#17,0,1,0,102,16,0.40256381034851074
none,"However, one of those laws, the Administrative Criminal Justice Act, stated in section 10 that, except as otherwise provided, the general administrative laws were to determine the nature and severity of sanctions.",0,15#5,0,1,0,213,32,0.45971599221229553
none,"In addition, the fine imposed on the applicant was accompanied by an order for his committal to prison in the event of his defaulting on payment (see paragraph 16 above).",0,15#53,0,1,0,170,30,0.5106955766677856
none,"In short, its review was confined exclusively to questions of law and therefore could not be regarded as equivalent to that of a body with full jurisdiction.",0,15#22,0,1,0,157,27,0.5016971826553345
none,"In the first place, it failed to satisfy the requirements of Article 64 (art.",0,15#7,0,2,0,77,14,0.43280595541000366
none,"In the present case it could look at the impugned proceedings only from the point of view of their conformity with the Constitution, and this did not enable it to examine all the relevant facts.",0,15#27,0,1,0,194,35,0.43454718589782715
none,"In the present case, inasmuch as the new proceedings reached their conclusion in a decision later in date than the entry into force of Protocol No.",0,15#42,0,2,0,147,26,0.38252827525138855
none,It follows that when the compatibility of those powers with Article 6 para.,0,15#29,0,3,0,75,13,0.3015643358230591
none,It further observes that the offence provided for in section 5 of the Road Traffic Act represents only one aspect of the offence punished under Article 81 para.,0,15#48,0,2,0,160,28,0.43620172142982483
none,It is therefore necessary to determine whether the declaration satisfies the requirements of that provision (art.,0,15#36,0,2,0,113,16,0.3931099474430084
none,It therefore remains only to ascertain whether the provisions (art.,0,15#13,0,3,0,67,10,0.29393336176872253
none,"It was therefore not empowered to take evidence itself, or to establish the facts, or to take cognisance of new matters.",0,15#20,0,1,0,120,21,0.6626729369163513
none,"Like the Commission, the Court notes that, although the offences in issue and the procedures followed in the case fall within the administrative sphere, they are nevertheless criminal in nature.",0,15#50,0,1,0,194,30,0.44908225536346436
none,"Like the Commission, the Court observes that the aim of Article 4 of Protocol No.",0,15#40,0,2,0,81,15,0.2994692623615265
none,"Moreover, in a judgment of 14 October 1987 the Constitutional Court held that in respect of criminal penalties not covered by the reservation in respect of Article 5 (art.",0,15#32,0,2,0,171,29,0.35366690158843994
none,"Moreover, in the event of its quashing an administrative measure, it was not entitled to substitute its own decision for that of the authority concerned, but had always to remit the case to that authority.",0,15#21,0,1,0,205,35,0.567365825176239
none,"Moreover, the reservation only comes into play where both substantive and procedural provisions of one or more of the four specific laws indicated in it have been applied.",0,15#16,0,1,0,171,28,0.46768251061439514
none,"Nevertheless, both impugned decisions were based on the same conduct.",0,15#49,0,1,0,69,10,0.4591846168041229
none,"Nevertheless, with a description of this nature, which is not exhaustive, the ""declaration"" does not afford to a sufficient degree ""a guarantee  that [it] does not go beyond the provisions expressly excluded"" by Austria",0,15#39,0,1,0,219,34,0.4307365119457245
none,"On the other hand, the administrative authorities found, in order to bring the applicant's case within the ambit of section 5 of the Road Traffic Act, that that alcohol level had been attained.",0,15#46,0,1,0,193,33,0.4565439522266388
none,Reservations of a general character shall not be permitted under this Article (art.,0,15#9,0,2,0,83,13,0.37228211760520935
none,"Secondly, on a strict construction, its wording precluded extending its scope to the procedural sphere, which was in issue here",0,15#11,0,1,0,127,20,0.5910605788230896
none,That provision (P7-4) does not therefore apply before new proceedings have been opened.,0,15#41,0,1,0,87,14,0.5348154902458191
none,"That would be so even in a case where, as in this instance, the accused was merely fined, in so far as default on payment of that fine would entail committal to prison.",0,15#3,0,1,0,168,33,0.5672547817230225
none,The Constitutional Court is not such a body.,0,15#26,0,1,0,44,8,0.3582516014575958
none,"The Court is fully aware that the provisions in question differ not only as regards the designation of the offences but also, more importantly, as regards their nature and purpose.",0,15#47,0,1,0,180,30,0.4321002960205078
none,"The Court notes at the outset that there is no ""brief statement"" of the law which is said not to conform to Articles 3 and 4 of Protocol No.",0,15#37,0,2,0,140,29,0.3240572512149811
none,The Court notes that Mr Gradinger based his complaints on Article 6 (art.,0,15#15,0,3,0,73,13,0.3643093705177307
none,The Court points out that in the Chorherr v. Austria judgment of 25 August 1993 it held that Austria's reservation in respect of Article 5 (art.,0,15#12,0,5,0,144,26,0.3407524526119232
none,The Court reiterates that decisions taken by administrative authorities which do not themselves satisfy the requirements of Article 6 para.,0,15#25,0,3,0,139,20,0.3701765835285187
none,"The former was designed to penalise acts that cause death and threaten public safety, the latter to ensure a smooth flow of traffic.",0,15#44,0,1,0,132,23,0.5809390544891357
none,"The latter was bound by the administrative authorities' findings of fact, except where there was a procedural defect within the meaning of section 42(2), sub-paragraph 3, of the Administrative Court Act (see paragraph 24 above).",0,15#19,0,1,0,228,36,0.47459641098976135
none,The latter were different in nature and pursued different aims: whereas Article 81 para.,0,15#43,0,2,0,88,14,0.31930240988731384
none,"There could be no doubt that by the reference in that reservation to ""measures for the deprivation of liberty"" the Austrian Government had meant to include proceedings resulting in such measures.",0,15#1,0,1,0,195,31,0.4026286005973816
none,"These include the power to quash in all respects, on questions of fact and law, the decision of the body below.",0,15#30,0,1,0,111,21,0.4911387264728546
none,They differ in certain essential respects from those in issue in the Chorherr case.,0,15#14,0,1,0,83,14,0.5478343367576599
none,This is moreover reflected in the terminology employed.,0,15#51,0,1,0,55,8,0.574158787727356
none,"This was true not only of the administrative authorities, but also of the Constitutional Court, whose review was confined to constitutional issues, and above all of the Administrative Court.",0,15#18,0,1,0,190,29,0.4406992495059967
none,Thus Austrian law refers to administrative offences (Verwaltungsstraftaten) and administrative criminal procedure (Verwaltungsstrafverfahren).,0,15#52,0,1,0,142,13,0.4340493977069855
none,"the Court considers that the ""declaration"" is to be regarded as a reservation within the meaning of Article 64 (art.",0,15#35,0,2,0,116,20,0.37657374143600464
